category,bedrooms,n,med_rent_exp,med_expensas,med_utilities,med_guarantee,med_broker,med_all_in,utils_pct,guarantee_pct,broker_pct
long furnished,1,1164,650.0,113.0,91.0,32.0,0.0,873.0,10.4,3.7,0.0
long unfurnished,1,6475,467.0,86.0,71.0,21.0,0.0,654.0,10.9,3.1,0.0
temp furnished,1,2704,676.0,107.0,90.0,0.0,0.0,922.0,9.8,0.0,0.0
temp unfurnished,1,335,615.0,96.0,88.0,0.0,0.0,833.0,10.5,0.0,0.0
long furnished,2,559,974.0,190.0,99.0,47.0,0.0,1341.0,7.4,3.5,0.0
long unfurnished,2,3105,643.0,140.0,78.0,29.0,0.0,909.0,8.6,3.2,0.0
temp furnished,2,863,1000.0,168.0,97.0,0.0,0.0,1357.0,7.2,0.0,0.0
temp unfurnished,2,159,900.0,133.0,95.0,0.0,0.0,1225.0,7.7,0.0,0.0
long furnished,3,477,1900.0,418.0,116.0,98.0,0.0,2547.0,4.6,3.8,0.0
long unfurnished,3,1358,1364.0,296.0,105.0,39.0,0.0,1834.0,5.7,2.1,0.0
temp furnished,3,399,2000.0,360.0,114.0,0.0,0.0,2669.0,4.3,0.0,0.0
temp unfurnished,3,123,1841.0,353.0,111.0,0.0,0.0,2851.0,3.9,0.0,0.0
